N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
071C;FUNDACIÓN DE  LA COMUNIDAD VALENCIANA MERCEDES BELTRÁN SANZ;;;;;emiliosospedra@hotmail.com;Calle San Francisco, nº 27-1º-2ª;;12;VINARÒS;CASTELLÓN;12500;964 45 06 82;;G-12643854;1904/01/01 00:00:00.000;;;10;30;0;1.- La conservación y mantenimiento de obras arquitectónicas, en especial, Iglesias y panteones de interés artístico general y, en concreto: a) La conservación de la Iglesia de Nuestra Señora de la Asunción de Chert (Castellón), construida y donada en su día a la diócesis por la Fundadora. b) Atender a los gastos de conservación y mantenimiento del pago de las cargas e impuestos del cementerio de Chert (Castellón). 2.- Obras benéficas para ancianos y personas necesitadas y marginales, con prioridad aquéllos que residan en Chert (Castellón). 3.- Obras de caridad que el Patronato considere necesarias.
071V;FUNDACIÓN JUAN ESPLUGUES DE LA COMUNIDAD VALENCIANA;;;;;juan.v.esplugues@uv.es;Avda. Blasco Ibáñez, 15 (Facultad de Medicina de Valencia);;46;VALÈNCIA;VALÈNCIA;46010;96 3864624  . 610277837;3 86 46 25;G46365631;1986/11/18 00:00:00.000;;;21;;;La Fundación tiene la misión fundamental: de subvencionar la formación en investigación farmacológica experimental clínica, preferentemente, de postgraduados menores de 35 años, vinculados a los Departamentos de Farmacología, o secciones departamentales de Farmacología, de las Universidades de la Comunidad Valenciana, en centros de investigación nacionales o extranjeros que incluyan dicha área de conocimiento.
072V;FUNDACIÓN INSTITUTO VALENCIANO DE LA EDIFICACIÓN DE LA COMUNITAT VALENCIANA;;;;http://www-cop.gva.es/ive;ive@cop.gva.es;Camino de Vera s/n. Edificio 1B-Puerta R;;46;VALÈNCIA;VALÈNCIA;46022;963986505;398.65.04;G46397691;1987/05/11 00:00:00.000;;;21;;;ARTÍCULO 6- Fines y Actividades. Son fines de la Fundación:. La investigación, desarrollo y fomento de la calidad de la edificación. La investigación abarca los diversos ámbitos relacionados con la edificación.. El desarrollo del objeto de la fundación se efectuará a través de las siguientes actividades:. - Ser foro de distintas Entidades Públicas y Privadas que representen, con carácter equitativo, a las actividades o sectores cuya finalidad principal es la edificación y equipamiento y en todos sus aspectos, ya sean técnicos, económicos, sociológicos especialmente los aspectos humanos.. - Estableciendo colaboración con todos los agentes del sector para avanzar en el incremento de la competitividad y en la calidad entendida como satisfacción del usuario. Para estas actividades se establecerá la mejora de la competencia profesional, motivación por la calidad, y de la comunicación dentro del sector.. - Mediante estudios, análisis, ponencias de normativa, como en comprobaciones empíricas de la edificación.. El fomento de la Calidad de la edificación mediante el establecimiento de sistemas de calidad en el proceso edificatorio, su evaluación mediante distintivos de edificios, la vinculación entre actuaciones de los agentes conformando un sistema de calidad, su verificación y retroalimentación.. - El fomento de la rehabilitación del parque edificatorio existente y la regeneración de las áreas urbanas degradadas, con especial atención a los aspectos sociales de las intervenciones urbanas, con criterios de inclusión, sostenibilidad y mejora de la calidad de vida de los ciudadanos.. - La difusión y la formación en edificación: La Fundación, es tanto productor como difusor de la información consecuencia de sus actividades, así como la Información útil para los objetivos de calidad y mejora de competencia y comunicación en el sector.
074C;FUNDACIÓN MONSERRAT BABILONI DE LA COMUNIDAD VALENCIANA;;;;;;;Calle Cardenal Cisneros, 6;12;BURRIANA;CASTELLÓN;12530;;;;2005/05/20 00:00:00.000;;;10;40;0;La atención social y la promoción los estudios sanitarios a nivel universitario
074V;FUNDACIÓN LA MATA DE JONC;;;;;;Carrer Valencians, 4;;46;VALÈNCIA;VALÈNCIA;46001;96 332 13 98;;;1988/04/07 00:00:00.000;;2014/05/07 00:00:00.000;31;;;Promoure l'ensenyament del valencià, i fomentar estudis, premis i publicacions per enfortir la presència del valencianisme en totes les àrees de la vida material i espiritual del poble valencià.
075A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ASILO-HOSPITAL Nª Sª DE LOS DOLORES;;FUNDACIÓN ASILO-HOSPITAL NUESTRA SEÑORA DE LOS DOLORES;;;efremmira@gmail.com;Calle de San Jaime, nº 7;Avda. del País Valenciano, 18;3;GUARDAMAR DEL SEGURA;ALICANTE;3140;667894291;572 70 88;G53208955;1935/06/30 00:00:00.000;;;13;;;La asistencia de ancianos  necesitados.
075C;DON MIQUEL, FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;;San Joaquín, nº 14;;12;LES COVES DE VINROMÁ;CASTELLÓN;12185;;;;2005/09/08 00:00:00.000;;2015/05/15 00:00:00.000;14;0;0;Atenciones puramente benéficas, de las necesidades mas urgentes de los pobres de la localidad o en tránsito.
076A;FUNDACIÓN ASILO DE SAN JOAQUÍN DE LA COMUNIDAD VALENCIANA;;;;;gcasarrubios@gestores.net;D. Angel Diego Ibáñez Casarrubios, calle Vicente Lerma, nº 12 bajo;Paca Guillem 19 (03440 IBI);3;PATERNA;VALÈNCIA;46980;96 138 30 00;;G03070513;1963/01/15 00:00:00.000;;;13;;;La atención a las personas de la tercera edad que soliciten acogerse en la residencia propiedad de la Fundación.
076C;FUNDACIÓN DE LA COMUNITAT VALENCIANA PARA LA PROMOCIÓN Y DESARROLLO COMERCIAL DEL PUERTO DE CASTELLÓN FUNDACIÓN PORTCASTELLÓ;;;;;ssoria@fundacionportcastello.com;Edificio Moruno Plaza del Mar del Puerto de Castellón;;12;CASTELLÓN;CASTELLÓN;12100;964 19 90 20;964199248;G12686275;2006/03/31 00:00:00.000;;;80;0;0;Tiene como finalidad principal la elaboración y desarrollo de acciones de promoción, estudio y potenciación de la competitividad del Puerto de Castellón y de las de su Comunidad Portuaria
076V;FUNDACIÓN DE ESPERANTO DE LA COMUNIDAD VALENCIANA;;ESPERANTO FUNDACION FERNANDO SOLER;;;;c/ J.J. Dómine, 12-10ª;Calle de Duque de Calabria, 4-2 (46005);;VALÈNCIA;VALÈNCIA;46011;685.59.21.23;96 374 23 94;G46573044;1988/06/21 00:00:00.000;;;31;;;El fomento, promoción, expansión y divulgación del modo más amplio  posible de la lengua internacional Esperanto.
077A;FUNDACIÓN CASA DE BENEFICENCIA DE MURO DEL ALCOY;;;;;casabeneficiencia@telefonica.es;Plaza la Ermita, 1;;3;MURO DEL ALCOY;ALICANTE;3830;553 07 64/86  553 15 62;;G03312279;1969/07/29 00:00:00.000;;;13;;;La Fundación tiene por objeto el mantenimiento de una Residencia de Ancianos y el cobijo, manutención y cuidados de personas que por sus circunstancias personales requieran atención y cuidados especiales. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa
077C;FUNDACIÓ MARINA D'OR DE LA COMUNITAT VALENCIANA;;;;;;Calle Moyano, nº 8 - bajo;;12;CASTELLÓN;CASTELLÓN;12002;;;;2006/04/19 00:00:00.000;;;20;21;50;La Fundación tiene por objeto el fomento de la investigación, conservación, difusión y recuperación del patrimonio arqueológico. También será objeto de la Fundación la conservación del Medio Ambiente, de los recursos geológicos, botánicos, hídricos y fáunicos, así como la realización de obras sociales, la promoción de actividades culturales y el apoyo a investigaciones científicas
077V;FUNDACIÓ JOSEP RENAU DE LA COMUNITAT VALENCIANA;;;;;epaya@octubre.cat;Carrer Sant Ferran, 10;;46;VALÈNCIA;VALÈNCIA;46001;963157799;;G46581575;1988/07/12 00:00:00.000;;;32;;;(art. 5) L'objecte i finalitat de la Fundació és la promoció i la defensa del patrimoni artístic, cultural i natural del País Valencià en el seus diversos ordres i manifestacions i en especial el d'exhibir por tot el país l'obra de Josep Renau, editar i reproduir les seues obres, difondre la seua figura i producció artística, etc. Per aixo podrà: 1.- Atorgar beques, premis i ajudes a la investigació i promoure treballs d'estudi de qualsevol tipus, dins de les seues finalitats i tant per a dur a terme dins el País Valencià com con qualsevol altre lloc d'Espanya o de l'estranger, per si mateixa o en correspondència amb altres institucions similars. 2.- La divulgació per ella mateixa o mitjançant empresa editora dels treball i estudis referits anteriorment i aquells altres que es relacionen amb els objetius de la Fundació. 3.- L'organització de conferències, simposis, taules rodones, seminaris, cursos i qualsevol altre tipus de reunions al voltant dels temes referits, així com intercanvis amb col.laboradors d'entitats culturals d'àmbit similar. 4.- La prestació de qualsevol altre tipus d'assistència, ajut o activitat anàloga o complementària de les anteriors, dins el seu àmbit de competències.
078A;FUNDACIÓ DE LA COMUNITAT VALENCIANA MARE DE DEU DE LA SOLEDAT D'ONDARA;;;;;resiondara@gmail.com;Plaça de les Escoles, s/n;;3;ONDARA;ALICANTE;3760;965 76 70 02 - 619 36 48 02;;G03300571;1958/11/11 00:00:00.000;;;13;;;“La Fundació té per objecte els fins benèfics propis de l’entitat de la seua classe, és a dir, dedicada a treballar amb col.lectius vulnerables en situació de marginació, falta d’inclusió social i, preferentement, com a Residència de Gent Major. El art. 7 modificado.- Beneficiaris.- “Seran potencials beneficiaris de la Fundació les persones que estiguen en una situació vulnerable, en situació de marginació, falta d’inclusió o risc social i, preferentment, con a Residència de Gent major, a més de les persones usuàries d’una residència o centre de día, segons assenyala la legislació vigent en cada moment. La Fundació atorgarà amb criteris d’imparcialitat, objectivitat i no discriminació  els seus beneficis a les persones o entitats que, complint les condicions expressades anteriorment, estime el patronat que són legítims creditors, d’acord amb les basses, normes o regles que s’hi estableixen. Ningú podrà al.legar, davant la Fundació, dret preferent a gaudir dels seus beneficis, ni imposar la seua atribució a persona o entitat determinada.  E
078V;FUNDACIÓN VICENTE BORT FERRIS - COLEGIO DE FARMACÉUTICOS DE VALENCIA-FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;FUNDACIÓN VICENTE BORT FERRIS;;;;Calle de Conde de Montornés, 7;;46;VALÈNCIA;VALÈNCIA;46003;96 391 07 49;391 27 27;G96475884;1988/11/16 00:00:00.000;;;14;;;Costear con los rendimientos, frutos y productos de sus bienes los estudios y atenciones de estudiantes pobres naturalesde Catarroja , de confesión católica, hombres o mujers, sin limitación de estudios, tiempos ni edades, que sean acreedores a ello por sus merecimientos y aptitudes y por su povidad moral y personal y carencia de recursos materiales.
079A;FUNDACIÓ RESIDÈNCIA DE LA COMUNITAT VALENCIANA NTRA. SRA. DEL CARME DE PEDREGUER;;;;;residenciadelcarmenpedreguer@hotmail.com;Avda. Andrés Pons, 7-11;;3;PEDREGUER;ALICANTE;3750;965760773-650693274;;G03097508;1919/11/07 00:00:00.000;;;14;;;(art. 6) La Fundación tiene por objeto la atención integral a las personas más necesitadas. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
079C;FUNDACIÓ GENERAL DE LA UNIVERSITAT JAUME I FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;jvicente@uji.es    moran@uji.es bertolin@uji.es;Campus del Riu Sec de la Universitat Jaume I - avenida de Vicent sos Baynat, s/n;;12;CASTELLÓN;CASTELLÓN;12071;964387200 - 696346399 - 964387199;;;2006/12/12 00:00:00.000;;;42;30;0;1.- La Fundació té per objecte col-laborar amb la Universitat Jaume I en el desenvolupament i la gestió d’aquelles activitats que contribuïsquen a la millora en la prestació dels serveis universitaris. 2.- Correspon al Patronat de la Fundació determinar en què s’han de complir les finalitats enumerades en aquest article, sempre respectant la consideració de la Fundació com una entitat sense ànim de lucre. 3.- El desenvolupament de l’objecte de la Fundació s’ha d’efectuar, entre altres, a través d’alguna de les següents activitats: a) Cooperar en el compliment de les funcions pròpies de la Universitat complement i millorant les activitats realitzades per l’estructura de la Universitat o les entitats ja existents que ens deprenen. b) Gestionar diverses infraestructures de la Universitat Jaume I i els serveis vinculats amb aquestes. c) Fomentar la innovació, el desenvolupament tecnològic i la utilització de les noves tecnologies en la investigació, en la docència i en la gestió. d) Fomentar la qualitat en la gestió universitària. e) Fomentar la inserció laboral de l’estudiant i de les persones amb titulació universitària. f) Promoure el coneixement de la llengua i cultura pròpies, d’altres idiomes i de l’espanyol llengua estrangera. g) Promoure la realització d’activitats culturals. h) Fomentar els valors recollits en els Estatuts de la Universitat Jaume I. i) Fomentar la cooperació amb altes institucions, en especial en matèria de cooperació al desenvolupament. j) Promoure la realització d’activitats i projectes conduents a la captació de fons externs per a la realització de les activitats pròpies de la Universitat. k) Fomentar la col.laboració de la Universitat amb les empreses i altres institucions, a través dels instruments que proporciona el parc científic i tecnològic, mitjançant la prospecció de mercat i la promoció de línies d’R+D+I adaptades als reptes i necessitats de l’entorn socioeconòmic. l) Donar suport a la transferència de tecnologia i a la comercialització dels resultats de la investigació, a través dels instruments que proporciona el parc científic i tecnològic. m) Promoure i divulgar l’esperit emprenedor i de la innovació en la comunitat universitària, mitjançant el suport a la creació i creixement d’empreses innovadores. Aquestes activitats s’han de exercir en coordinació amb les activitats ja desenvolupades per l’estructura de la Universitat, i s’ha de procurar la col.laboració entre la Fundació General de la Universitat Jaume I, Fundació de la Comunitat Valenciana, MP, els serveis universitaris i la resta d’entitats i fundacions que depenen de la Universitat per al compliment dels seus objectius, evitant la duplicitat de funcions. 4.- Si alguna de les diverses fundacions en els patronats de les quals participe la Universitat Jaume I acorda la fusió amb la Fundació General de la Universitat Jaume I, Fundació de la Comunitat Valenciana, MP. També ha de complir les finalitats de les fundacions universitàries, reforçant fins i tot les accions que es consideren d’interès. La invocació nominal dels fundadors respectius acompanyarà les prestacions que s’efectuen en la seua memòria.»
